,genome_name,source,species,resistance_profile,ST,location
SRR27388058,EPSK038,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",520,Thailand:Sisaket
SRR27388059,EPSK027,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",520,Thailand:Sisaket
SRR27388060,EPSK022,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",Novel ST,Thailand:Sisaket
SRR27388061,EPSK017,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",526,Thailand:Sisaket
SRR27388062,EPSK013,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",526,Thailand:Sisaket
SRR27388064,EPSK005,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",70,Thailand:Sisaket
SRR27388065,EPSK004,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",219,Thailand:Sisaket
SRR27388066,EPSK003,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",219,Thailand:Sisaket
SRR27388067,EPSK001,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",46,Thailand:Sisaket
SRR27388069,EPNP203,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",54,Thailand:Nakhon Phanom
SRR27388070,EPNP202,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",176,Thailand:Nakhon Phanom
SRR27388075,EPNK195,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",1777,Thailand:Nong Khai
SRR27388076,EPNK193,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",372,Thailand:Nong Khai
SRR27388077,EPNK178,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",70,Thailand:Nong Khai
